Title,URL,Video ID,Channel
Larry Heard - Mr Fingers Mix (1996),https://www.youtube.com/watch?v=nexIxpuSMGw,nexIxpuSMGw,Ivory Joe From Kokomo
Larry Heard on Hip-hop beats Mystery Of Love and Fingers Inc  Red Bull Music Academy,https://www.youtube.com/watch?v=qxPPR8eXm78,qxPPR8eXm78,Red Bull Music Academy
Larry Heard - Sceneries Not Songs Volume 1,https://www.youtube.com/watch?v=ElunG4om3HU,ElunG4om3HU,angelakard87
Mr Fingers music mix Unheard,https://www.youtube.com/watch?v=sR_8spYghTg,sR_8spYghTg,Serendipity Transmits 24-7 (Matrix Surfers)
Larry Heard - LET ME IN [Deep House],https://www.youtube.com/watch?v=i5SWgX0fppM,i5SWgX0fppM,ONESKEAR
Larry Heard - Deja Vu (Musaria Mix),https://www.youtube.com/watch?v=1LH0Lnhpd8s,1LH0Lnhpd8s,RDFLD
Best of Mr Fingers aka Larry Heard Dj Live Sep14 1991 (1),https://www.youtube.com/watch?v=0Aw4AFECLWM,0Aw4AFECLWM,Nohashi Records
Mr Fingers - Can You Feel It,https://www.youtube.com/watch?v=tFuujExs03A,tFuujExs03A,HouseNationChicago
FINGERS INC - Another Side (Complete Album)  Alleviated Records,https://www.youtube.com/watch?v=ZR4ZCK_QYSs,ZR4ZCK_QYSs,39 Herzios
Fingers Inc - Mystery of Love (1986 Instrumental Mix) Old School House,https://www.youtube.com/watch?v=YeTkjp-uQKk,YeTkjp-uQKk,Electronic Music Underground!
Larry Heard - Summer Breeze,https://www.youtube.com/watch?v=N9GovwvafLo,N9GovwvafLo,Nimrod Azoulai
Larry Heard  Loose Fingers - ask me about my life,https://www.youtube.com/watch?v=_QZMjvpUKnI,_QZMjvpUKnI,Babes Papes
Larry Heard - Dj Vu,https://www.youtube.com/watch?v=dni8J0Agj4o,dni8J0Agj4o,dreamin2live
Mr Fingers - What About This Love (Extended Version),https://www.youtube.com/watch?v=diM_TmToXM8,diM_TmToXM8,UNDERGROUND CLASSICS HOUSE
Missing You (Instrumental),https://www.youtube.com/watch?v=Up57jnV1W0k,Up57jnV1W0k,Mr. Fingers - Topic
Larry Heard - Missing You (Original Version),https://www.youtube.com/watch?v=UWV6D7WCvBo,UWV6D7WCvBo,tonton4o
Larry Heard - People,https://www.youtube.com/watch?v=vuxq1aonxhg,vuxq1aonxhg,Jazzy Groove Channel
DJ Larry Heard Untitled Promo Mix,https://www.youtube.com/watch?v=KKtIP0DFxD8,KKtIP0DFxD8,Jacob Solbux
You Rock Me (Long Version),https://www.youtube.com/watch?v=ElyCxjDii_E,ElyCxjDii_E,Larry Heard Presents Mr. White - Topic
Larry Heard - Insight,https://www.youtube.com/watch?v=lIKVEgfpqZY,lIKVEgfpqZY,spycory1
The Sun Cant Compare (Long Version),https://www.youtube.com/watch?v=a1qXc36b7wk,a1qXc36b7wk,Larry Heard Presents Mr. White - Topic
Another Night,https://www.youtube.com/watch?v=wlPmnh0g9KM,wlPmnh0g9KM,Mr. Fingers - Topic
Larry Heard with Moodman What About This Love Live  Dommune 13 03 2011,https://www.youtube.com/watch?v=jHMieO8I7wE,jHMieO8I7wE,Гайцы Газазат
Gallifre  Jimmie Lee - Set Your Mind To It (Mr Fingers),https://www.youtube.com/watch?v=d_rll9Xi1S4,d_rll9Xi1S4,eric edmondson
Mr Fingers  Classic Fingers,https://www.youtube.com/watch?v=tiiS1Onot34,tiiS1Onot34,Basement Tracks
Mystery of Love,https://www.youtube.com/watch?v=5tqErnknRsE,5tqErnknRsE,Mr. Fingers - Topic
Mr Fingers is here,https://www.youtube.com/watch?v=9VtowVpzrcY,9VtowVpzrcY,Mr. fingers
Mr Fingers - Youre Someone Special,https://www.youtube.com/watch?v=kVZDcUxosMw,kVZDcUxosMw,UNDERGROUND CLASSICS HOUSE
On My Way,https://www.youtube.com/watch?v=82kLIHVrRkU,82kLIHVrRkU,Mr. Fingers - Topic
Closer,https://www.youtube.com/watch?v=_O4e2ls346Y,_O4e2ls346Y,Mr. Fingers - Topic
2nd Avenew  Its The New (Club Mix),https://www.youtube.com/watch?v=mw5yviY04OQ,mw5yviY04OQ,In House We Trust
2nd Avenew - Its The New (Dub Mix),https://www.youtube.com/watch?v=SI2dsTBRqYk,SI2dsTBRqYk,Underground Music Channel
(1989) Blakk Society feat David Hollister - Just Another Lonely Day [Larry Heard Club Mix],https://www.youtube.com/watch?v=eAip575g_yw,eAip575g_yw,Dancin Deepest
Disco - D (Larry Heard) - 2(122-BPM),https://www.youtube.com/watch?v=U0ih89dNPzM,U0ih89dNPzM,Sounds from MHT
Disco - D  Beat It (Dance Tracs),https://www.youtube.com/watch?v=iocdeD3itKQ,iocdeD3itKQ,Anthony Cetta
disco d,https://www.youtube.com/watch?v=P53gel6B0Js,P53gel6B0Js,jellybeanbenitiz
Bang Le Dex - Larry Heard aka Mr Fingers - EP 01312024,https://www.youtube.com/watch?v=5Igb7x2wx9g,5Igb7x2wx9g,Bang Le' Dex Official
Gherkin Jerks - Meltdown,https://www.youtube.com/watch?v=qZK9looYGl4,qZK9looYGl4,disrupt303
Midi Beats,https://www.youtube.com/watch?v=lMfy4urz76U,lMfy4urz76U,Mr. Fingers - Topic
Gherkin Jerks - Din Sync,https://www.youtube.com/watch?v=zToBzy-Xv_Y,zToBzy-Xv_Y,disrupt303
Acid Indigestion,https://www.youtube.com/watch?v=0o_1B4P3Ges,0o_1B4P3Ges,Mr. Fingers - Topic
Gherkin Jerks Acid Indigestion,https://www.youtube.com/watch?v=iMtkOgjFAqA,iMtkOgjFAqA,disrupt303
Parameters,https://www.youtube.com/watch?v=K6N9Fb7DI3U,K6N9Fb7DI3U,Mr. Fingers - Topic
Gherkin Jerks Parameters,https://www.youtube.com/watch?v=d6Q5kwJbBug,d6Q5kwJbBug,disrupt303
Space Dance,https://www.youtube.com/watch?v=7tlKZqi1050,7tlKZqi1050,Mr. Fingers - Topic
The Gherkin Jerks - Space Dance,https://www.youtube.com/watch?v=yanlWyBbA9c,yanlWyBbA9c,DeliciousJay
Saturn V,https://www.youtube.com/watch?v=UZRSlF49TBE,UZRSlF49TBE,Mr. Fingers - Topic
When Summer Comes (12 Version),https://www.youtube.com/watch?v=pzAmJsDCtOQ,pzAmJsDCtOQ,Mr. Fingers - Topic
Deep Inside (12 Version),https://www.youtube.com/watch?v=Fe6h63OX-1E,Fe6h63OX-1E,Mr. Fingers - Topic
